full_name,street1,street2,city,state,zip
"BBQ Brothers, LLC",1000 S Main St,,Council Bluffs,IA,51503
"BBQ Brothers, LLC",1000 S Main St,,Council Bluffs,IA,51503
"Divine Living, LLC",6657 Sorensen Parkway,,Omaha,NE,68152
"Divine Living, LLC",6657 Sorensen Parkway,,Omaha,NE,68152
"Divine Living, LLC",6657 Sorensen Parkway,,Omaha,NE,68152
"Kustom Sweets and Eats, LLC",1102 E Coolbaugh St,,Red Oak,IA,51566
"Kustom Sweets and Eats, LLC",1102 E Coolbaugh St,,Red Oak,IA,51566
"Kustom Sweets and Eats, LLC",1102 E Coolbaugh St,,Red Oak,IA,51566
Obsession Salon and Boutique,916 16TH Street,,CENTRAL CITY,NE,68826
Obsession Salon and Boutique,916 16TH Street,,CENTRAL CITY,NE,68826
Obsession Salon and Boutique,916 16TH Street,,CENTRAL CITY,NE,68826
"Triple 8 Epoxy, LLC",2114 Lake Street,,Omaha,NE,68110
"Triple 8 Epoxy, LLC",2114 Lake Street,,Omaha,NE,68110
"REYNOLDS LOGISTICS, LLC",4215 Larimore Avenue,,Omaha,NE,68111
PSA Sports,2250 North Webb Road,Ste 220,Grand Island,NE,68803
"FYMB Trucking Express, LLC",1416 6th Street,,Columbus,NE,68601
"FYMB Trucking Express, LLC",1416 6th Street,,Columbus,NE,68601
"K-9 Homeschool, LLC",5812 Larimore Avenue,,Omaha,NE,68104
"Next Vizion, LLC",6506 S. 107th,,Omaha,NE,68127
"Next Vizion, LLC",6506 S. 107th,,Omaha,NE,68127
"Next Vizion, LLC",6506 S. 107th,,Omaha,NE,68127
The Heart's Desire,743 West 2nd Street,,Hastings,NE,68901
The Heart's Desire,743 West 2nd Street,,Hastings,NE,68901
"Empowering Kids Academy, LLC",7331 N. 166th Avenue,,Bennington,NE,68007
"Empowering Kids Academy, LLC",7331 N. 166th Avenue,,Bennington,NE,68007
"Blue Fish Restaurant Group, LLC",10841 Q Street,,Omaha,NE,68137
"Mosquito Joe of Omaha, LLC",917 Rawhide Road,,Papillion,NE,68046
"Mosquito Joe of Omaha, LLC",917 Rawhide Road,,Papillion,NE,68046
"Mosquito Joe of Omaha, LLC",917 Rawhide Road,,Papillion,NE,68046
Tyr's Hand Investigation Services,"1555 East Dodge Street, Fremont, NE, USA",,Fremont,NE,68025
Tyr's Hand Investigation Services,"1555 East Dodge Street, Fremont, NE, USA",,Fremont,NE,68025
"QDJ ENTERPRISES, LLC",5624 Decatur,,Omaha,NE,68104
"QDJ ENTERPRISES, LLC",5624 Decatur,,Omaha,NE,68104
"Midwest Tattoo Supply Company, LLC",902 North Scenic Drive,,Oakland,IA,51560
"Hidro Framing, LLC",2804 S38th St,,Omaha,NE,68105
Lewis Consulting dba Metco Contracting,1941 S. 42nd Street Suite 402 J,,Omaha,NE,68105
Lewis Consulting dba Metco Contracting,1941 S. 42nd Street Suite 402 J,,Omaha,NE,68105
Lewis Consulting dba Metco Contracting,1941 S. 42nd Street Suite 402 J,,Omaha,NE,68105
"Kenoh, LLC",7428 North 89th Ave,,Omaha,NE,68122
Arc Auto Sale LLC,4109 S. 42nd Street,,Omaha,NE,68107
Arc Auto Sale LLC,4109 S. 42nd Street,,Omaha,NE,68107
"Bopes Living, LLC",2315 S. 168TH Street,,OMAHA,NE,68130
"Bopes Living, LLC",2315 S. 168TH Street,,OMAHA,NE,68130
Cartaya Transport LLC,2908 Cottage Street,,Grand Island,NE,68803
Cartaya Transport LLC,2908 Cottage Street,,Grand Island,NE,68803
Cartaya Transport LLC,2908 Cottage Street,,Grand Island,NE,68803
"Diamond One Book Advising and More, LLC",1941 South 42nd Street,,Omaha,NE,68105
"La Movie, LLC",2210 South 143rd Plaza,5,Omaha,NE,68144
"La Movie, LLC",2210 South 143rd Plaza,5,Omaha,NE,68144
"Gamble Tech Firm, LLC",4525 Saratoga Street,,Omaha,NE,68104
Hoth Grocery Store,4644 Douglas Street,,Omaha,NE,68122
Lady Bradley's Salon,13819 T Plz,,Omaha,NE,69137
"Jae & Britt Novelties, LLC",8305 Weber Street,,Omaha,NE,68122
"TL Freight & Logistics, LLC",5315 N. 49th Avenue,,Omaha,NE,68104
Nele's Stump Grinding,1726 S. 14TH Street,,OMAHA,NE,68108
Nele's Stump Grinding,1726 S. 14TH Street,,OMAHA,NE,68108
"L.A. Antojitos, LLC",901 S. 9th Street,,Norfolk,NE,68701
"L.A. Antojitos, LLC",901 S. 9th Street,,Norfolk,NE,68701
"Drewop's Trucking, LLC",6725 S. 81ST Street,,OMAHA,NE,68127
"Drewop's Trucking, LLC",6725 S. 81ST Street,,OMAHA,NE,68127
"Lowe Enterprises, Inc.",2219 Pratt Street,,Omaha,NE,68110
"Lowe Enterprises, Inc.",2219 Pratt Street,,Omaha,NE,68110
"Lowe Enterprises, Inc.",2219 Pratt Street,,Omaha,NE,68110
Comfort Food Truck Company LLC,105 Ely St,,Woodbine,IA,51579
Comfort Food Truck Company LLC,105 Ely St,,Woodbine,IA,51579
"La Oveja Negra, LLC",1402 Country Club Rd Apt 45,,Norfolk,NE,68701
"Wicked Beauty, LLC",2808 Victoria Avenue,,Bellevue,NE,68005
"Wicked Beauty, LLC",2808 Victoria Avenue,,Bellevue,NE,68005
"Blue Star Transport, LLC",2805 Yorktown Street,,Bellevue,NE,68123
"YOUR FORTE, LLC","415 Chestnut Street, Atlantic, IA, USA",,ATLANTIC,IA,50022
"YOUR FORTE, LLC","415 Chestnut Street, Atlantic, IA, USA",,ATLANTIC,IA,50022
"YOUR FORTE, LLC","415 Chestnut Street, Atlantic, IA, USA",,ATLANTIC,IA,50022
"YOUR FORTE, LLC","415 Chestnut Street, Atlantic, IA, USA",,ATLANTIC,IA,50022
FRAZIER PRODUCTIONS LLC,3400 Maplewood Blvd,,Omaha,NE,68134
Westview B&B,7000 NW 27th Street,,Lincoln,NE,68524
Westview B&B,7000 NW 27th Street,,Lincoln,NE,68524
"Deens THD Enterprise, LLC",12919 C PLAZA,,Omaha,NE,68144
"Dirty Birds, LLC",1722 Saint Marys Avenue,,Omaha,NE,68102
"LOV, LLC",445 North Broad Street,,Fremont,NE,68025
"LOV, LLC",445 North Broad Street,,Fremont,NE,68025
"BLACK POWER REDEVELOPERS, LLC",4507 South 15th Street,,Omaha,NE,68107
"Live Lifestyle, LLC",327 N. 36TH Street,,Omaha,NE,68131
"AMD, LLC",601 S. Jeffers Street,,North Platte,NE,69101
"Embracing Heart Supportive Services, LLC",11069 I Street,,Omaha,NE,68137
"20 West Main, LLC",256 Zenith Drive,,Council Bluffs,IA,51503
"20 West Main, LLC",256 Zenith Drive,,Council Bluffs,IA,51503
"20 West Main, LLC",256 Zenith Drive,,Council Bluffs,IA,51503
"20 West Main, LLC",256 Zenith Drive,,Council Bluffs,IA,51503
"DRC Transport,  LLC",3721 W. Capital Ave Apt. C-209,,Grand Island,NE,68803
"Valor Counseling & Support, LLC",304 E 6TH ST,,North Platte,NE,69101
"Prairie Crossing Vineyard & Winery, LLC",31506 Pioneer Trl,,Treynor,IA,51575
AGK Paint & Lawn,12275 Signal Dr,,Omaha,NE,68137
"IRV'S SEWING, LLC",4715 Nebraska Avenue,,Omaha,NE,68104
"IRV'S SEWING, LLC",4715 Nebraska Avenue,,Omaha,NE,68104
"Ordonez Trucking, LLC",17331 Pine Circle,,Omaha,NE,68130
"Branding Design Pro, LLC",9755 Mockingbird Drive Apt 100,,Omaha,NE,68127
Rea Rea's Inn,241 W. IRVING Street,,LINCOLN,NE,68521
Rea Rea's Inn,241 W. IRVING Street,,LINCOLN,NE,68521
"Tyjuan Sharron, LLC",2211 HOWARD Street,,OMAHA,NE,68152
"Nitro Burger, LLC",2136 S. 8th Street,,Lincoln,NE,68502
"Naughty Buddha Burger Bar, LLC",7140 South 91st Street,Apt 108,Lincoln,NE,68526
"Dupays, LLC",5905 S. 151st Street,,Omaha,NE,68137
Ifeanyi Onubogu Financial Services,6707 Giles Rd Apt 306,,Papillion,NE,68133
Ifeanyi Onubogu Financial Services,6707 Giles Rd Apt 306,,Papillion,NE,68133
Ifeanyi Onubogu Financial Services,6707 Giles Rd Apt 306,,Papillion,NE,68133
"Animosity Rage Room, LLC",810 N. 107th Avenue,,Omaha,NE,68114
"SIR WHITE LOGISTICS, LLC",15550 Redick Plaza,,Omaha,NE,68111
"THE PARTY BAR, LLC",7919 N. 173rd Terrace Cir,,Bennington,NE,68007
"THE PARTY BAR, LLC",7919 N. 173rd Terrace Cir,,Bennington,NE,68007
"Piggy Bank Tax Preparation and Accounting, LLC",Enterprise Center,96th & L St,Omaha,NE,68127
"Piggy Bank Tax Preparation and Accounting, LLC",Enterprise Center,96th & L St,Omaha,NE,68127
Local Roots Floral and Gifts LLC,516 Nebraska Ave,,Arapahoe,NE,68922
William Dunlap Jr Flooring,219 S. 4th Street,,Council Bluffs,IA,51503
William Dunlap Jr Flooring,219 S. 4th Street,,Council Bluffs,IA,51503
"Take Aim LLC, Indoor Shooting Sports and Training",13606 S. 44th,,Bellevue,NE,68123
Tornado Alley,808 Main Street,,Arapahoe,NE,68922
Advanced Aesthetics,"5600 S. 48th, #112",,Lincoln,NE,68516
Coffee Nook,108 N. Main Street,,Gordon,NE,69343
Big Daddy's Fried Chicken LLC,210 S. 15th Street,,Omaha,NE,68102
Cremation Services of Nebraska LLC,5844 Fremont Street,,Lincoln,NE,68507
Cremation Services of Nebraska LLC,5844 Fremont Street,,Lincoln,NE,68507
Cremation Services of Nebraska LLC,5844 Fremont Street,,Lincoln,NE,68507
"Allen Well Company, Inc.",2607 N. 150th Avenue,,Omaha,NE,68116
"Troika International Trading Co., LLC",1809 N. 115th Plaza #3309,,Omaha,NE,68154
White Trucking,6753 E. Hwy 30 Hwy,,Dix,NE,69133
White Trucking,6753 E. Hwy 30 Hwy,,Dix,NE,69133
White Trucking,6753 E. Hwy 30 Hwy,,Dix,NE,69133
"Touch n Tan, LLC",11836 S.. 216 th Ste.3 Street,11836 South 216th Street Ste. 3,Omaha,NE,68028
"Touch n Tan, LLC",11836 S.. 216 th Ste.3 Street,11836 South 216th Street Ste. 3,Omaha,NE,68028
"Touch n Tan, LLC",11836 S.. 216 th Ste.3 Street,11836 South 216th Street Ste. 3,Omaha,NE,68028
"Touch n Tan, LLC",11836 S.. 216 th Ste.3 Street,11836 South 216th Street Ste. 3,Omaha,NE,68028
"Industrial Outfitters, Inc.",2276 locust street,,Grand Island,NE,68802
"Industrial Outfitters, Inc.",2276 locust street,,Grand Island,NE,68802
"Industrial Outfitters, Inc.",2276 locust street,,Grand Island,NE,68802
"Industrial Outfitters, Inc.",2276 locust street,,Grand Island,NE,68802
"Crossfit Viral, LLC",36040 165th Sreet,,Omaha,NE,68154
Purple Moon Cookery,1505 N. Hwy 83,,McCook,NE,69001
Purple Moon Cookery,1505 N. Hwy 83,,McCook,NE,69001
"Adams Painting Co, LLC",3830 North 99th Circle,,Omaha,NE,68134
"Adams Painting Co, LLC",3830 North 99th Circle,,Omaha,NE,68134
"Adams Painting Co, LLC",3830 North 99th Circle,,Omaha,NE,68134
"Adams Painting Co, LLC",3830 North 99th Circle,,Omaha,NE,68134
"Adams Painting Co, LLC",3830 North 99th Circle,,Omaha,NE,68134
David Burgess Photography,4535 Crown Point Avenue,4535 Crown Point Avenue,Omaha,NE,68104
"Lantex Corporation, LLC",3927 Ames Avenue,,Omaha,NE,68111
Quilted Kitty,6101-6101 S. 56th Street,,Lincoln,NE,68516
Quilted Kitty,6101-6101 S. 56th Street,,Lincoln,NE,68516
CR Fosdick Enterprises Inc.,1721 Cedarberry Road,,North Platte,NE,69101
Countertop Creations,321 S. 8th Street,,Springfield,NE,68509
Countertop Creations,321 S. 8th Street,,Springfield,NE,68509
Countertop Creations,321 S. 8th Street,,Springfield,NE,68509
Countertop Creations,321 S. 8th Street,,Springfield,NE,68509
Countertop Creations,321 S. 8th Street,,Springfield,NE,68509
Countertop Creations,321 S. 8th Street,,Springfield,NE,68509
Countertop Creations,321 S. 8th Street,,Springfield,NE,68509
"KolCom Network Solutions, Inc.",2609 S. 156th Circle,,Omaha,NE,68130
"Charming Children, LLC",911 N. Adams Street,911 N. Adams,Papillion,NE,68046
"Charming Children, LLC",911 N. Adams Street,911 N. Adams,Papillion,NE,68046
Reasonable Lawn Care,8623 N. 28TH Avenue,,Omaha,NE,68112
Reasonable Lawn Care,8623 N. 28TH Avenue,,Omaha,NE,68112
Reasonable Lawn Care,8623 N. 28TH Avenue,,Omaha,NE,68112
Runway Boutique,7474 Towne Center Pkwy T113 Parkway,,Papillion,NE,68046
Runway Boutique,7474 Towne Center Pkwy T113 Parkway,,Papillion,NE,68046
Concepts AV Integration LLC,4610 S. 133rd Street,,Omaha,NE,68137
Concepts AV Integration LLC,4610 S. 133rd Street,,Omaha,NE,68137
ELM Home Services,7518 Terry Drive Drive,,LaVista,NE,68128
ELM Home Services,7518 Terry Drive Drive,,LaVista,NE,68128
ELM Home Services,7518 Terry Drive Drive,,LaVista,NE,68128
Kemac Ag,1878 Alliance Street,,Alliance,NE,69301
Fab Appliance Repair LLC,3317 Ruggles St,,Omaha,NE,68111
Rabfak Construction,3916 N. 109th Plaza,,Omaha,NE,68164
Sanchez Remodeling LLC,3527 U St,,Omaha,NE,68107
Indigo Cottage Crafts LLC dba Pinspiration Sarpy County,11912 S 48th St,,Papillion,NE,68133
Indigo Cottage Crafts LLC dba Pinspiration Sarpy County,11912 S 48th St,,Papillion,NE,68133
Indigo Cottage Crafts LLC dba Pinspiration Sarpy County,11912 S 48th St,,Papillion,NE,68133
Sanchez Remodeling LLC,3527 U St,,Omaha,NE,68107
Indigo Cottage Crafts LLC dba Pinspiration Sarpy County,11912 S 48th St,,Papillion,NE,68133
"Mejia Transport, LLC","6912 N 16th St, Lot 55",,Omaha,NE,68112
"Mejia Transport, LLC","6912 N 16th St, Lot 55",,Omaha,NE,68112
"KJP Trucking, LLC",3714 Seward Street,,Omaha,NE,68111
"KJP Trucking, LLC",3714 Seward Street,,Omaha,NE,68111
"KJP Trucking, LLC",3714 Seward Street,,Omaha,NE,68111
"SRZ Logistics, LLC",1408 Dorcas St,,Omaha,NE,68108
"SRZ Logistics, LLC",1408 Dorcas St,,Omaha,NE,68108
"SRZ Logistics, LLC",1408 Dorcas St,,Omaha,NE,68108
Moreland & Company LLC  d/b/a MTM Trucking,6728 Woodbine Circle,,Omaha,NE,68127
"Simple Kitchen, LLC",116 W 3rd Street,,Grand Island,NE,68801
"Simple Kitchen, LLC",116 W 3rd Street,,Grand Island,NE,68801
"Simple Kitchen, LLC",116 W 3rd Street,,Grand Island,NE,68801
"Heartland Transportation, LLC",312 Grace St,,Council Bluffs,IA,51503
MARISCOS EL CULICHI LLC,2229 Leavenworth Street,,Omaha,NE,68102
MARISCOS EL CULICHI LLC,2229 Leavenworth Street,,Omaha,NE,68102
BRICKROAD'S GRILLE AND DISTILLERY LLC,214 North Green Street,,Clarks,NE,68628
BRICKROAD'S GRILLE AND DISTILLERY LLC,214 North Green Street,,Clarks,NE,68628
BRICKROAD'S GRILLE AND DISTILLERY LLC,214 North Green Street,,Clarks,NE,68628
"Jake's Odd Jobs, Inc.",620 Douglas Cir,,Eagle,NE,68347
"Jake's Odd Jobs, Inc.",620 Douglas Cir,,Eagle,NE,68347
"Jake's Odd Jobs, Inc.",620 Douglas Cir,,Eagle,NE,68347
"Realmfive, Inc.",3300 Folkways Cir,,Lincoln,NE,68504
Machado Transportation LLC,324 W Koenig St Apt. 22,,Grand Island,NE,68801
Machado Transportation LLC,324 W Koenig St Apt. 22,,Grand Island,NE,68801
Machado Transportation LLC,324 W Koenig St Apt. 22,,Grand Island,NE,68801
Will's Insurance Agency,1235 Toluca Av,,Alliance,NE,69301
Will's Insurance Agency,1235 Toluca Av,,Alliance,NE,69301
Rabfak Construction,3916 N. 109th Plaza,,Omaha,NE,68164
"Amparito's Market, LLC",7009 Whitewater Ln,,Lincoln,NE,68521
"Amparito's Market, LLC",7009 Whitewater Ln,,Lincoln,NE,68521
"Kasa Du Bonbon, LLC","5104 South 79th Avenue, Ralston, NE, USA",,Omaha,NE,68127
"Kasa Du Bonbon, LLC","5104 South 79th Avenue, Ralston, NE, USA",,Omaha,NE,68127
"Kasa Du Bonbon, LLC","5104 South 79th Avenue, Ralston, NE, USA",,Omaha,NE,68127
"Adana's Kebab House, LLC",3604 Twin Creek Drive Drive,,Bellevue,NE,68123
La Bahia Restaurante LLC,1122 B Street,,Schuyler,NE,68661
"MLG2, LLC",4151 N 62nd St,,Omaha,NE,68104
"MLG2, LLC",4151 N 62nd St,,Omaha,NE,68104
"MLG2, LLC",4151 N 62nd St,,Omaha,NE,68104
"La Ranchera, LLC",803 W 4TH ST,,GRAND ISLAND,NE,68801
"La Ranchera, LLC",803 W 4TH ST,,GRAND ISLAND,NE,68801
"Rubio's Trucking, LLC",1970 37th Ave,,Columbus,NE,68601
"Rubio's Trucking, LLC",1970 37th Ave,,Columbus,NE,68601
"Adriana's Auto Sales, LLC",1627 Fort Crook Rd N,,Bellevue,NE,68005
"Adriana's Auto Sales, LLC",1627 Fort Crook Rd N,,Bellevue,NE,68005
"Long Walk Farm, LLC",23780 Dogwood Rd,,Council Bluffs,IA,51503
"Long Walk Farm, LLC",23780 Dogwood Rd,,Council Bluffs,IA,51503
"Family Foundation Services, LLC",225 N St Joseph Ave,,Hastings,NE,68901
"Family Foundation Services, LLC",225 N St Joseph Ave,,Hastings,NE,68901
dba Infinite Builders,2930 Leawood Dr,,Bellevue,NE,68123
dba Infinite Builders,2930 Leawood Dr,,Bellevue,NE,68123
dba Infinite Builders,2930 Leawood Dr,,Bellevue,NE,68123
"Easy as 12V, LLC",428 Bryan St,,Gretna,NE,68028
"Easy as 12V, LLC",428 Bryan St,,Gretna,NE,68028
Breakthrough Fitness & Nutrition LLC,3223 N 45th Street ,,Omaha,NE,68112
Breakthrough Fitness & Nutrition LLC,3223 N 45th Street ,,Omaha,NE,68112
Breakthrough Fitness & Nutrition LLC,3223 N 45th Street ,,Omaha,NE,68112
"Mighty Tidy, LLC",310 East ST,,Alma,NE,68920
"Mighty Tidy, LLC",310 East ST,,Alma,NE,68920
"Mighty Tidy, LLC",310 East ST,,Alma,NE,68920
"Southern Spoon, Inc.",3929 Ames Ave,,Omaha,NE,68111
Bold Beauty Hair and Beauty Supply,1210 North 26th Circle,,Omaha,NE,68131
Bold Beauty Hair and Beauty Supply,1210 North 26th Circle,,Omaha,NE,68131
Lung Master LLC,119 North 72nd Street,apt 341,Omaha,NE,68114
Lung Master LLC,119 North 72nd Street,apt 341,Omaha,NE,68114
"Mitch & East Cleaning Co, LLC",5068 Vernon Circle,,Omaha,NE,68104
Universal Aerial Solutions,52388 Brookside Avenue,,Glenwood,IA,51534
Universal Aerial Solutions,52388 Brookside Avenue,,Glenwood,IA,51534
Garrido Construction LLC,3459 Spaulding Street,,Omaha,NE,68111
"The Tipsy Pine Pizza Pub, LLC",257 N Main St,,Long Pine,NE,69217
"The Tipsy Pine Pizza Pub, LLC",257 N Main St,,Long Pine,NE,69217
"The Tipsy Pine Pizza Pub, LLC",257 N Main St,,Long Pine,NE,69217
VendorGrAde LLC,10720 North 180th Street,,Bennington,NE,68007
VendorGrAde LLC,10720 North 180th Street,,Bennington,NE,68007
Jennifer Lea LLC,11404 West Dodge Road,Ste 500,Omaha,NE,68154
Jennifer Lea LLC,11404 West Dodge Road,Ste 500,Omaha,NE,68154
"Haroldo Construction, LLC",120 West Lane,,Grand Island,NE,68803
Copperstone Foods LLC,101 N Wright St,,Eustis,NE,69028
BAW Motors LLC,3420 Cherokee Drive,,Scottsbluff,NE,69361
BAW Motors LLC,3420 Cherokee Drive,,Scottsbluff,NE,69361
"Omaha Creek Trailer Sales, Inc",2377 US-77,,Homer,NE,68030
Baja Autos LLC,4300 23rd Street,,Columbus,NE,68601
Baja Autos LLC,4300 23rd Street,,Columbus,NE,68601
Baja Autos LLC,4300 23rd Street,,Columbus,NE,68601
Copperstone Foods LLC,101 N Wright St,,Eustis,NE,69028
Barragan Trucking,500 W 7th ST ,,Lexington,NE,68850
Barragan Trucking,500 W 7th ST ,,Lexington,NE,68850
Axe Holes LLC,2300 North Webb Road,Ste 109,Grand Island,NE,68803
Lazy J B Trucking,61 Goffena Road,,Chadron,NE,69337
Lazy J B Trucking,61 Goffena Road,,Chadron,NE,69337
Jen & June Boutique,2 1/2 East Main Street,,Treynor,IA,51575
Go Far Inc,622 Pierce Street,,Omaha,NE,68108
"Wheelhouse Omaha, LLC dba Elevator",1402 Jones Street,,Omaha,NE,68102
"Wheelhouse Omaha, LLC dba Elevator",1402 Jones Street,,Omaha,NE,68102
Beautify Me By Millini LLC,"6915 North 50th Avenue, Omaha, NE, USA",,Omaha,NE,68152
La Autentica LLC,1324 Bohnker Hill Road,,Denison,IA,51442
Dezzie Beauty Bar LLC,5811 Taylor Street,,Omaha,NE,68104
Rhino Medical Transportation,7330 North 89th Avenue,,Omaha,NE,68122
Ball Vineyards & Estates,2361 Wittstruck Road,,Roca,NE,68430
Cuban Express,3763 West Capital Avenue,apt 221,Grand Island,NE,68803
Cuban Express,3763 West Capital Avenue,apt 221,Grand Island,NE,68803
El Sazon De Mima LLC,403 East 2nd Street,,Madison,NE,68748
El Sazon De Mima LLC,403 East 2nd Street,,Madison,NE,68748
Bear Company LLC,5858 Wenninghoff Road,Ste 2,Omaha,NE,68134
Chi-Town Sandwiches LLC,PO Box 65,,Harrisburg,SD,57032
Chi-Town Sandwiches LLC,PO Box 65,,Harrisburg,SD,57032
EM Enterprises LLC dba Lee's Crossroads Cafe,656 Chestnut Street,,Arapahoe,NE,68922
EM Enterprises LLC dba Lee's Crossroads Cafe,656 Chestnut Street,,Arapahoe,NE,68922
"Embracing Heart Supportive Services, LLC",11069 I Street,,Omaha,NE,68137
"Embracing Heart Supportive Services, LLC",11069 I Street,,Omaha,NE,68137
Guzman Remodeling Construction LLC,2117 Pond Cir Dir,,Lincoln,NE,68512
Guzman Remodeling Construction LLC,2117 Pond Cir Dir,,Lincoln,NE,68512
Beckwith Performance LLC,17298 Lapworth Lane,,Crescent,IA,51548
Munoz Fresh Produce LLC,6304 South 23rd Street,,Omaha,NE,68107
Munoz Fresh Produce LLC,6304 South 23rd Street,,Omaha,NE,68107
"O Street Barber Shop, LLC",2047 O Street,,Lincoln,NE,68510
Peek-A-Boo Learning Center #2,4851 North 72nd Street,,Omaha,NE,68134
Orange Love LLC,8060 South 84th Street,,La Vista,NE,68128
Orange Love LLC,8060 South 84th Street,,La Vista,NE,68128
Jet Clean Inc,1910 Southwest 10th Street,,Lincoln,NE,68522
Jet Clean Inc,1910 Southwest 10th Street,,Lincoln,NE,68522
"Martinez Bakery, LLC",2312 N Street,,Omaha,NE,68107
"Martinez Bakery, LLC",2312 N Street,,Omaha,NE,68107
Olam Express LLC,2204 E 35th Street Dr,,Kearney,NE,68847
"Provasource, LLC","17330 West Center Road, Ste. 110, Box 323",,Omaha,NE,68130
Not By Sight LLC dba Rooted In Love,4952 North 166th Plaza,A210,Omaha,NE,68116
"Corner Building, LLC",721 West 1st Street,,Hastings,NE,68901
JJA Transport LLC,7901 South 24th Street,,Bellevue,NE,68147
JJA Transport LLC,7901 South 24th Street,,Bellevue,NE,68147
Memo's Hardscapes & Landscaping LLC,3551 South 121st Avenue,,Omaha,NE,68144
Memo's Hardscapes & Landscaping LLC,3551 South 121st Avenue,,Omaha,NE,68144
Memo's Hardscapes & Landscaping LLC,3551 South 121st Avenue,,Omaha,NE,68144
Game Knights LLC,414 North Dewey Street,,North Platte,NE,69101
Game Knights LLC,414 North Dewey Street,,North Platte,NE,69101
"818, LLC",114 West 17th Street,,Cozad,NE,69130
"818, LLC",114 West 17th Street,,Cozad,NE,69130
"Indoor Golf Omaha, LLC",920 South 107th Avenue,,Omaha,NE,68114
JetFire Solutions LLC,7528 Sherman Drive,,Omaha,NE,68134
JetFire Solutions LLC,7528 Sherman Drive,,Omaha,NE,68134
"Blondo Nails, LLC",2085 North 120th Street,,Omaha,NE,68164
"Blondo Nails, LLC",2085 North 120th Street,,Omaha,NE,68164
"Blondo Nails, LLC",2085 North 120th Street,,Omaha,NE,68164
"Generation Hope Family Counseling & Consulting, LLC",11071 West Maple Road,,Omaha,NE,68164
"Keep Off Home Improvements, LLC",314 South 17th Street,,Omaha,NE,68102
"Fox Flooring, LLC",1905 Harney St,,Omaha,NE,68102
"Fox Flooring, LLC",1905 Harney St,,Omaha,NE,68102
Utra's Caribbean Food LLC,1304 West Arlington Avenue,,Lincoln,NE,68522
Utra's Caribbean Food LLC,1304 West Arlington Avenue,,Lincoln,NE,68522
Rose Cat Coffee Company LLC,5600 South 48th Street,,Lincoln,NE,68516
Elevated Solutions LLC,11701 Centennial Road,,La Vista,NE,68128
Legacy Map LLC dba Board and Brush,6016 Maple Street,,Omaha,NE,68104
Legacy Map LLC dba Board and Brush,6016 Maple Street,,Omaha,NE,68104
Mexitli Restaurant LLC,1620 Harney Street,,Omaha,NE,68102
Rising Stars Learning Center,3805 Avenue D,,Council Bluffs,IA,51501
CLM Cable LLC,"6932 Oak Plaza, Omaha, NE, USA",,Omaha,NE,68106
"Victor Leigh, LLC dba Bulu",5240 South 19th Street,,Lincoln,NE,68512
Tanya Luken CPA PC,109 Cedar Street,,Bellevue,NE,68005
Lawson Cyrogenic Manufacturing & Repair LLC,13427 Lynam Drive,,Omaha,NE,68138
WETO Investments / JANC Coffee LLC / Scooters Coffee,1814 Avenue D,,Cozad,NE,69130
4AT Trucking LLC,1401 Freedom Lane,,Lexington,NE,68850
4AT Trucking LLC,1401 Freedom Lane,,Lexington,NE,68850
